Subject ID,When,Change Sphere,Type,Cntxt Sig,V Vctr,H Vctr,Themes,Patterns,Narrative,Jinghpaw version
KESST2,Q2 2018,"Personal, community",perspective,2.5,0,0,Colonizer's education,"Feeling under threat by government, Education designed to make one feel inferior, Aspirations for a different future for one's people","I got involved in this project because I imagined a different future for our people, a future where we did get a good education, and it seemed worth trying for. We still have so many invisible threats from the government, and they have so many operations against us. Not only us but also other ethnic groups. And other groups are also starting to make their own education systems as well, so we're not the only ones who see this as an important issue. Actually, we weren't sure how the government would respond. But we do know that the education we were otherwise getting was useless, and made us feel inferior. They treated us like we were a slow, backward and uncivilized people. So we had to do something. ",
KESST3,Q2 2018,"Personal, Family",story,1,2,1,Space to heal/improve,Dealing with behavior problems,"I had a student who attended the government school, and he switched to our school. He was about 6 or 7, and we started him back in grade 1. At first he was very rude, he would even hit the teachers, but after about 3 or 4 months, after he got used to the daily routine, he stopped disturbing the other children, and he showed good behavior. His parents even came and said, 'Oh, he actually wants to go to school now.' It used to be hard to get him to go to school, when he was going to government school.",
KESST3,Q2 2018,"Personal, family, community",story,2,2,2,New qualities of children: self-expression,Breaking the conventions of rote learning,"Usually when we (adults) were going to school as children, taking exams or something, we would always memorize things by heart. In our school we asked our students to write something as a kind of test, but we didn't call it a test. We just asked them to write about their family. So the title was, ""My family."" When I was in school I would have written something like, ""My father and mother are so-and-so, I have this many brothers and sisters,"" and just the facts like that. But this one student of mine wrote about the real situation in her family. ""Our toilet is broken, and my uncle just arrived from Mandalay. All the family members are working for my school fees,"" like that. She also wrote about her own inner feelings. It made me very proud.",
KESST3,Q2 2018,"Personal, Colleagues",scenario,2.5,2,2,"Leadership, managing conflict","Learning to control one's temper, changing management practice to reduce conflict","When I was younger I got angry easily. I couldn't control my temper. When I felt angry I showed it immediately. In this program they provide PLD. And I was able to slowly put away that mindset. It's still a struggle sometimes, but I'm working on it. I think my communication has gotten better not only with the students, but also with other teachers, since I'm the assistant principal. Sometimes a teacher won't show up to work without informing me, for example. It used to be that I would just make some criticism in a general meeting with everyone, but now I try to talk with them privately, understand the reasons, and explain how they should do things differently even if they have good reasons.",
KESST3,Q2 2018,Community,story,3,2,2,New qualities in children: confidence to speak,Being impressed with young people able to express themselves confidently,"Last year we put on a science fair as part of our Christmas party. Actually, for we teachers, it seemed normal to us because of how we see these children every day. But the parents came to join us, and they were actually shocked to see how the children were good at explaining their work. They would ask the children questions, and the children answered them confidently. This amazed them. We got a lot of this kind of feedback from parents, which made me feel very happy. They never saw this kind of program in this village.",
KESST4,Q3 2018,"Personal, Community",story,1.5,1,0.5,Motivation for education,"Discovering that one's education is useless, Teaching as a community service for the Kachin people","I was working as an assistant editor in a publishing house in Yangon when I first heard about this education project. Before that I was trying to work as a journalist. I earned two degrees, one from the distance education university, and one from MIT. My family had some money problems a few years before that, and so to help I went to Singapore to find work, but I could only find work as a maid, and it became clear to me that my education was worthless. I worked as a maid for 3 years, and it made me feel so awful, that I shouldn't have wasted my time with school. In 2011 I came back to Myanmar, and found work at a publishing house. I actually searched for an NGO job, but I wasn't successful. After I had been working there for 3 years, my mother told me about this school. She told me that if I came back to work at the school I could stay in her house (which was near to the school) and she would support me. Since Yangon was very expensive, this was an appealing idea. It was also the case that I didn't feel like my work was helping anyone, apart from giving me money to live. So I agreed to come back and provide a service to my people.

Around the same time there was a lot of talk in Kachin society about doing something to serve the Kachin people. But what they meant when they said that was to become a soldier and join the fight against the government. That never sat well with me. The education project showed me a way to serve the Kachin people without fighting, and so that's what I did.",
KESST4,Q3 2018,"personal, Community",story,1.5,1,1,New qualities of children: creativity,Showing appreciation,"I was impressed with some of the grade 5 students, who tried to make a small movie with a smartphone. It actually wasn't a school project, just something they wanted to do for the fun of it. They made their own props, set their own scenes, and even had a director, then they brought to me a bunch of video clips and asked if I could edit them together on the computer to make a movie. I had to tell them no, because it was a fighting movie that had some bad language, and I didn't want to be associated with it, but I was impressed with their effort. And I told them I was proud of them.",
KESST4,Q3 2018,Personal,scenario,1,0.5,1,Self-knowledge,"Growing awareness of one's ability to affect others, becoming less confident with time","At first I just saw myself as a teacher, but now I think I see that I can bring more value than just what I do in the classroom. That's not to say I feel confident or empowered, just that I can see how the children are affected. In fact, I don't feel strong at all. I would even say that I was more confident at the beginning, because I wasn't seeing clearly. The experience has taught me how little I know, and how much more work I need to do.",
KESST4,Q3 2018,"Personal, Colleagues",story,1.5,-1,0,Feeling unappreciated,Working hard for something that isn't appreciated,"In grade 1, we were trying to collect some materials for class, but the principal told us there wasn't any money for it. I was working so hard for the children, and it just left me with a feeling that I was not being supported in that. And I took that very hard. As soon as I became principal I vowed to never be that way to my own teachers, and in fact I've worked to prepare materials for them. But now I've found a new discouragement, because the teachers don't use what I've made for them. So in both cases it's an experience of working hard to do something for the children, and feeling unappreciated.",
KESST4,Q3 2018,"Personal, Colleagues",scenario,1.5,1,1,Discipline,Micromanaging others,"I think some of the teachers feel like I micro-manage them, since I like to have everything well-ordered. But a few parents seem to appreciate this quality in me. They tell me that the children seem better disciplined and the classroom is better organized when I'm teaching them, and the children can go through their work step by step.",
KESST4,Q3 2018,"Colleagues, Community",story,2.5,2,2,"Governance, Conflict avoidance, Injustice","Conflict between teachers and parents, School committee not supporting teachers, submitting rather than defending what's right","One time there was a parent who showed up drunk, and started a fight with a teacher. He was insulting one of the teachers, and even acted like he was going to punch him. When we told the school committee about this incident, they said ""It's ok, it's ok, don't worry about that. Even if he said bad things about the teacher, please just come and apologize to him."" Actually, I wasn't here at the time, I was told about it afterward, but the school committee asked all the teachers to come and apologize to this man, to soothe his anger and make the problem go away. But when I heard about this later I told them, ""This is not good for my teachers, to treat them this way. They did nothing wrong, why should they apologize?"" This man even went to one of the teachers' houses and shouted for them to come out, that he would teach them a lesson. This kind of thing has happened more than once, and I feel it's not good for our teachers. Not safe. And the school committee just wants to avoid a fight. But I don't want to just accept that. And so this is difficult. It's bad enough that a parent would do this, but it makes it worse when the school committee won't support us in these cases.

","Kalang mi gaw jawngma kawa tsa nang nna sharin sara hpe ga law saw ai, masai marai ga tsun nna ganoi noi ta du hkyen ai. Dai lam ni hpe jawng komiti malawm ni hpe tsun dan rai, “Rai sai, Rai sai dai na matu hkum tsang” sha nga ya ai.  Dai jawngma kawa, sharin sara na n kaja ai lam tsun tim jawng komiti ni gaw chyeju hte sa nna tawng ban u nga tsun ai. Dai a ten hta ngai n nga ai, byin ngut ai hpang she sharin sara ni tsun dan nna chye ai. Raitim, jawng komiti ni gaw dai jawngma kawa myit pyaw na matu hte mang hkang n kaba na matu nga nna sharin sara yawng hpe shaga nna tawng ban shangun ai. Ndai manghkang hpe ngai na ai hpang gaw shahte hpe ngai tsun ai, n dai zawn re sharin sara ni hpe galaw ai, shaga ai lam ni gaw n htap htuk na re. Shanhte shut ai lam mung hpa n nga ai sha hpa majaw tawng ban ra na? Dai jawngma kawa gaw sharin sara langai na nta de mung sa nna marawn ai, ga law saw ai, shi naw sharin shaga na nga nna sa marawn jahtau ai. Dai zawn re lam ni hpe ngai na ai shloi gaw kalang sha n ga ai, sharin sara ni na matu mung n hkrak ai ngu nna ngai mu ai. Sharin sara ni a matu shim lum lam n nga ai. Jawng komiti ni gaw mang hkang hpe n hparan ai sha koi ai. N dai zawn re ai lam ni gaw ngai na matu hkap la na yak ai. N dai lam ni gaw yak ai re hpe mung chye na ai. Kanu Kawa ni n dai zawn di ai pi ram la sai, rai tim ngai na matu grau n lu hkam sharang ai gaw n dai zawn re mang hkang ni byin wa ai aten hta jawng komiti ni anhte maga n tsap ya ai hpe grau myit n pyaw ai."
KESST4,Q3 2018,"personal, colleagues",scenario,3,-0.5,-0.5,Isolation,Feeling unsupported and unappreciated,"When it comes to decision-making around the school, I feel like I actually have to make most of the day-to-day school decisions. Like when the children fight, or the teachers argue, I'm the one that needs to deal with it. We also realized that we weren't keeping good records about our children's reports, and so I had to change this situation with better policy and practice. Also starting the library, I'm the one who got that going, and had to get support from the various committees.",
KESST4,Q3 2018,Community,scenario,3,-0.5,-0.5,Blaming others,Externalizing problems and blaming others rather than finding shared purpose and responsibility,"It seems like a lot of people in the community blame us. They say things like ""it's your school."" I want to say, ""No, it's not just our school. It's a community school. We all need to work on this together."" But not many people are ready to see it that way.",
KESST5,Q3 2018,"Personal, Community",story,3,2,2,Motivation for education,Being impressed by creativity and original thinking in others,"When I first heard about this education program I was actually teaching from home, as a private English tutor for a boarding house that my sister runs. I didn't have space for my students, so I went to look for a room I could rent in the evenings for that purpose, and that's what brought me to the school. I saw there what the teachers and students were doing in the classroom, and that made me interested. I suppose it was the work that was posted on the wall that first caught my eye. It was just so obviously different and creative, not just rote work. When I was teaching my own students, I had to follow the government approach just so that they could improve by those standards. And I wasn't happy about that. A lot of times the point of the lesson wasn't clear, so I just had the students memorize it. It made me feel guilty, like I wasn't really helping them as a teacher. That's when I shifted to try to teach my own classes that did a little more with grammar and communication, looking for a better way to teach. And that's what made this style of education appealing to me.",
KESST5,Q3 2018,"Personal, family",scenario,2.5,0,0,"Social pressure, Lack of space to grow/improve","Family resonsibility, being overloaded contributing to sense of failure","Sometimes I feel I'm letting my family down. They are the ones who are always supporting me, and I haven't been able to do anything to support them. I want to help here in this education project, but it takes up all my time and energy. Sometimes I feel the price is too high. I'd like to develop myself as a teacher, but I don't want to get pulled into all these multi-tasking roles: curriculum development, administration, etc. I want to be able to focus on one thing and do it well.",
KESST5,Q3 2018,"Personal, Community",story,2.5,2,2,"Seeing other perspectives, Resisting angry reactions, Humility","Responding with understanding rather than anger, Giving children responsibility, Showing respect to people of lower status","There was a time when one of the children in grade 6 was a bit naughty: he didn't want to participate or obey the teachers. So his teacher told me about his behavior. My first reaction was to scold him angrily, but somewhere along the way I changed my mind and tried to have a more thoughtful conversation with him. I told him that we knew he was on the verge of becoming a teenager, and this can be a difficult period of life to adjust to. I told him that we understood his situation, and if he needed any help he could come to us. But that he also needed to understand the teacher's situation. At the time there was only one grade 6 teacher, who was a bit overworked, and he needed to understand how he was making her life more difficult. So I talked to him in a humble way, almost as an equal. And afterward he started to do better, participate in class more and not cause trouble. I felt like I made a difference.","Kalang mi gaw grade 6 kaw na jawngma langai tan gawk kaw mung n shang lawm mayu, srn a ga mung n madat nna shi a sharin srn ngai kaw sa nna shi a lam ni hpe tsun dan garum hpyi wa ai. Dai aten hta ngai kalang ta grai pawt mayu nna pawt na hku myit da ai. Raitim, ngai bai myit yu nna shi hpe ga shaga yu na ngu shawng myit ai. Shi hpe ngai tsun ai nang ma sakram ten rai wa sai majaw nang na mayak hte nang nga na hpe sr chye na ai. Lama nna nang hpe sr ni lu garum na lam ni nga yang mung sa mai garum hpyi ai.  Rai tim nang hku nna mung sr ni na maga de myit ya yang grau kaja na re. Nang n dai zawn galaw ai a marang e srn a matu grau yak shangun ai.  Nang chye ai hte maren  na tan gawk srn mung dai ning gaw shi hkrai re ai majaw a mu grai kapang taw nga ai re. Ngai shi hpe manang langai zawn a tsawm myit kalu let shaga ai shaloi shi a kyang lai leng ni kachyi chyi galai shai wa ai. Tan gawk kaw mung grau shang lawm wa nna moi na daram n shayak mat ai. N dai zawn re lam ni hpe mu ai shaloi nye a matu galai shai ai lam lama mi hpe lu galaw kau dat ai zawn hkam sha ai."
KESST5,Q3 2018,Personal,scenario,1,-0.5,-0.5,Dealing with discouragement,Finding reasons to carry on in difficult circumstances,"There have been many times that I've felt like I wanted to give up teaching. But then I think about the children. I mean, sometimes the situation with the kids is the very thing that makes us feel depressed and want to give up. But at the same time they are still the reason to keep going.
",
KESST5,Q3 2018,"personal, community",scenario,2,-1,-0.5,"Lack of shared purpose, Lack of appreciation","Expressing appreciation rather than blame, Feeling unsupported, lack of shared purpose","I sometimes feel appreciated by the parents, but not that much, I have to say. It's not really part of Kachin culture to express appreciation for someone else's work. In fact it's much easier to blame. I think that's how most of the teachers feel. This reminds me of something my sister was telling me. She has two kids at our school, and so one time when I was talking with her about tensions with parents, she said, ""The teachers think they are doing this for the parents, and the parents think they are doing things for the teachers, when in fact all of us are doing it for the Kachin people."" Many parents in fact feel that their duty is finished once they send their kids to school, that it's our problem and not theirs.

","Kalang marang gaw Kanu Kawa ni masat masa galaw ai hpe ngai hku nna lu hkam sha ai. Anhte  ni a htung gaw manang wa galaw ai lam ni hpe masat masa galaw na hta, manang wa hpe mara shagun na gaw grau loi nga ai. N dai zawn re hkam sha lam gaw sharin sara ni grau hkam sha na re.  Kalang marang n ta na nye a Kana shawng hte ma ni hte Kanu Kawa ni a lapran na mang hkang hte seng nna jahta byin ai. A shawng na ma lahkawn hpe mung anhte jawng kaw sha tawn ai. Sharin sara ni gaw shanhte Kanu Kawa ni a matu galaw ya ai ngu shadu ai. Anhte Kanu Kawa ni mung sharin sara ni hpe garum taw ai ngu shadu ai. Kaja wa nga yang anhte yawng gaw anhte wupawng myusha ni yawng a matu galaw taw ai she re. Anhte Kanu Kawa law malawng gaw Ma ni hpe jawng sa ngut yang shanhte bungli ngut sai ngu shadu ma ai. Dai majaw jawng kaw na mang hkang gaw shahte a mang hkang n re, sharin sara ni a mang hkang hku nna mu ma ai."
KESST5,Q3 2018,Personal,story,1,1,0,Motivation for self-improvement,Concern for others reinvigorating an intrinsic motivation,"The main thing that's changed about me since being involved in this program is that it's revived my interest in improving myself, in learning more. I realize I need to learn more in order to help my students and school. You know, in 2010 I attended a prep class in Myitkyina, and I was on track to apply for a scholarship for further study. But I didn't really apply myself, and wasn't very motivated. I didn't see it through. But after starting with SJN I see more clearly that we need to improve ourselves in order to help others. I feel motivated now in a way I haven't been before. I've taken some further study programs, and took leave to study for the IELTs exam, and am now looking to apply for further study programs.

",
KESST5,Q3 2018,Personal,scenario,1,1,0,Social Skills,"Learning to overcome shyness, learning to think more about others and be less self-absorbed","Another big way I've changed is just that … well, I didn't used to speak to strangers. I've never been very strong in communication or social situations, but after working here, between teaching, training, and meeting with parents I've had to really grow in this area. I feel I used to be very self-absorbed, and now I'm spending a lot more time thinking about other people. I think this work has tempered my ego.",
KESST5,Q3 2018,Family,scenario,1,-1,-1,"Family responsibility, Perception of laziness",Cultural attitudes about laziness,"If you asked my family how I've changed, I think they would respond with negative things. Mainly because I don't do any housework now, I'm so busy at school. My family doesn't really complain to me about it, and I think they understand I'm busy, but I don't think they are happy about it. I spend most of my time at school, and can't help the family out financially.

",
KESST5,Q3 2018,Community,scenario,1.5,1,0.5,Avoiding drug problems,"Children avoiding drug problems of their peers, becoming aware of a wider world","One thing that I'm proud of about the kids, especially the older ones, is that they seem to stay out of the problems that their peers get into, especially with drugs, but also other ways of getting into trouble. Our kids seem to be happy at school and love each other. They now have an extracurricular karate program at school, for example, and recently they went to a competition in Mandalay and won a prize. I'm proud of them to step up and do something like this. It's not really about the prize. It's that when they were living here they didn't know much about the wider world, they just stayed in their own neighborhoods. But now they have some idea of other places, they can talk about how Yangon is or how Mandalay is. It also gives them something active to engage in and not get drawn into the drugs. My main worry is that their relatives are addicted, and drugs are easily available, but so far they seem to be staying away from all that.

",
KESST5,Q3 2018,"community, colleagues",scenario,2.5,1,1,Governance,"School committee respecting teacher input, supportive community","The teachers are active in decision-making for the school. At the end of the school year and before classes open we have big meetings to make plans for the school calendar in the coming year. We also decide on school activities for like sports or extra-curricular activities, where it's also worth pointing out that we involve the parents, get their ideas. At the moment we don't have our own school buildings (we are using church buildings), and are making plans for new buildings in a new location. When the school committee is making these plans, they will call teachers to come in and talk with them about this, so I feel we are involved. In general I feel that the committee respects our decisions, and gives us the space to manage ourselves and make our own decisions about the school. They don't micromanage us. The parents committee is also very supportive, helping with the costs for meals and the karate teacher, etc. The only real point of tension is just that finances are really tight, and so any proposal that involves money is hard to agree on.

",
KESST6,Q3 2018,"Personal, community",story,3,2,1,Collaboration,Group learning as a novel practice,"I joined this project very early on, when they started with the first training in 2011. I had been teaching in a Chinese private school at the time, but when I first heard about this project I wanted to join immediately. It seemed like a revival of the old NCS schools (the mission schools), and I had long felt that all the best leaders in our community came from those old mission schools, and how the more recent generation of Kachin leadership doesn't measure up to that standard. So this education initiative seemed really important for our future. When training started, it began with ECCD, and it was very surprising to me, in a good way. We talked about group work, which was a new idea for me, and which I liked a lot. The whole idea of group discussion as a path to learning (as opposed to just listening to the teacher) was something new and interesting to me. I mean, we have groups, but groups are usually led by a strong leader where most people just follow the leader. To have a group of children where they all learned to play a strong role, well … it seemed good to me.",
KESST6,Q3 2018,"Personal, colleagues, community",story,3,1,2,"Intrinsic motivation, curiosity",Curiosity driving development rather than duty,"In those early days, after the school launched with grades 1 and then 2, the teaching was hard. There were times when we saw that we didn't know the curriculum very well, which worried us, but then we saw that the children did well anyway, even though we weren't confident with our teaching, and that was a pleasant surprise. We were also often very tired, because it was a lot of work, and we were in over our heads. We didn't know what was going to come next, in grade 2, for example. But even in those early days, I have to say that I was impressed with how I saw the children developing. I had been teaching for 5 years in the Chinese school, for example, but never saw the kind of development I saw in these children. In the Chinese school the focus was very much on pure academics, and working very hard, but it was superficial knowledge. In just one or two years in the SJN schools, I could see bigger changes than that. For example, our children were very curious and eager to learn. My Chinese students would get up at 5 in the morning and work very hard, but I never saw real curiosity from them. They learned only as a duty.",
KESST6,Q3 2018,"Personal, community",story,2,1,1,Challenging authority,"Being a role model for the children, Being confronted by children","In the past I was a big beer drinker, and I've had to reduce my drinking in order to be a better example for the children. It was actually something my students said to me that sparked this change in me. They confronted me at one point, saying, ""Teacher, you told us that alcohol is not good for health, and not good for the family, and yet we see you drinking so much. Why?"" It made me ashamed, made me realize I needed to rethink my behavior. The end result has been positive, as I've changed my behavior, but it was not a pleasant experience to have the children point out my flaws like this, I have to say.
",
KESST6,Q3 2018,community,story,3,1,0,Blaming others,Lack of shared purpose and responsibility,"The parents are fairly supportive, but there are some things they just don't seem willing to accept. For example, they think that their role in the process is simply to give money, and then their responsibility is finished. I try to tell them they also need to give attention to their children, and many of them just don't accept this. They think that's the teacher's job, and it's not their role. In our government school the parents aren't involved at all - they just send their kids to school, and then it's the school's problem.",
KESST6,Q3 2018,"colleagues, personal",story,2,0,0,Leadership,Management style of trust over strict rules,"My best working relationships are with the teachers at my local school, I would say, and not with the training team or other people in the wider SJN network. They are hard-working, and we're friendly, and trust each other. Although I'm the principal, I don't need to set many rules or discipline. That said, I think the teachers are not entirely happy with my leadership. I think they would say I'm a weak leader, because I travel too much. Or they tell me about things that need to be solved, and they think it should be solved right away, and I take too long to think about it or take care of it.
",
KESST6,Q3 2018,"personal, family",story,1,1,-0.5,"Stress, Family responsibility","Family responsibilities neglected, stress leading to poor behavior","I think if you asked my family how I've changed, they would also not have positive things to say. In particular they would say that the education work keeps me so preoccupied that I don't give them enough time. This is a problem I recognize. There are also times when I feel stress, and I'm not patient enough at home. I even catch myself sometimes, after an outburst, asking myself, ""Why did I react like that?"" It's the stress. I don't always behave the way I want to, according to my values.",
KESST6,Q3 2018,"family, community",story,2,1,2,Challenging authority,"Children speaking up for what's right, challenging authority, learning from children","The thing that makes me most proud of the children is that they act on what they know is right. They don't just let things slide past them. When they recognize that something isn't good, they speak up and act to change it. One of our parents, for example, used to sell this Chinese junk food, even at some of our festivals. Her children learned in our health lessons that this kind of food isn't healthy, and so they challenged their mother, ""Why are you selling these kinds of snacks?"" They persuaded her, and now when I visit her shop I see that she doesn't sell these things anymore.",
KESST6,Q3 2018,"colleagues, community",story,2,0.5,2,Governance,"Teachers proposing new activities and executing on them, disputes over salary","Our teachers help make important decisions for the school. We present proposals to the school committee, and they usually approve our recommendations. Most of the ideas, I would say, come from teachers. This year, for example, we discussed what sort of life skills our children have and need, and what we should be teaching them in that area. Someone suggested sewing, and now we've worked to set up a small sewing program. We've also started to teach Chinese as an extra subject, beyond the main SJN curriculum. That said, our teachers do have disagreements with the school committee, mainly on the subject of salary.
",
