Story ID,Subject ID,Interview Period,Program Area,Beneficiary sphere,Change Sphere(s),Specific Change ,Story?,Narrative
,KESSP10/11*,Q2 2018,KESS/NS,Indirect,Community,Story,,"The differences between children from government school and community school are visible only within the family. He sees children from government schools just do what they are told. But his child in the community school, always ask ""Why?"" They want to understand, not just follow orders. One specific example is that his daughter got involved with their discussion when they were trying to build out the sewer drains that run out from their house to the street. The daughter piped up to point out that this sort of construction really needed to involve an expert who knows the city system, and it's not just something for people to try and do for themselves in a haphazard way. "
,KESSP10/11*,Q2 2018,KESS/NS,Indirect,Personal,Scenario,,"My decision to send my son to government school was based on the fact that the curriculum is already completed, the school system is a known quantity, stable, has resources, the community school teachers are new and relatively unskilled, and beyond all that the government school is free. It just seemed more prudent. But then I changed my mind again for the youngest. I am starting to see the differences in his children, and why the community school is valuable. "
,KESSP12,Q2 2018,KESS/NS,Indirect,"Personal, Community",Story,,"In the music camp, there were many participants from government schools, and even university students older than my son who is grade 5 community student including his older sister. Nobody dare to speak up, or lead a group prayer, or lead as a chairperson to lead a worship session. But my son dared to do that, and he spoke out very clearly in front of the others."
,KESSP12,Q2 2018,KESS/NS,Indirect,"Personal, Relationships",Story,,"One time my son caused a problem with some of his friends, and when I heard about it, it made me very angry. And I grabbed up a stick and ran out to beat him. But he cried out, ""Wait! Wait! Tell me what I did wrong first, at least! If you're going to beat me, beat me, but give me a reason!"" It made her stop and think, and she realized he was right. If the punishment wasn't linked to an instructive purpose, it was just empty violence. I also learned to know one’s limit and to appreciate it, from my son’s self-awareness. Like he says that he's good at languages, but not good at maths. "
,KESSP12,Q2 2018,KESS/NS,Indirect,"Personal, Relationships",Story,,"I used to beat the older ones a lot, when they were younger. I would even take out my frustrations on them, and beat them not because of something they did but because of something I was upset about in my own life. Later I realized I needed to change my parenting. It is not because of the school or the program, but I read some parenting books, books on child psychology, and talked with other educated parents about how they raise their children. Finally my eyes were opened, and I decided not to beat my youngest two children in the same way. I can see now that my oldest child and youngest child are very different as a result. The oldest one doesn't have any ambition, but the youngest one seems very self-driven. My youngest daughter once overheard the piano teacher praised her brother, and so then she started to wake up very early and practiced piano harder, until she could earn the teacher's praise. I never saw that kind of drivenness in my oldest daughter. I think this is because of the excessive punishment, and I feel guilty about that. I told my oldest daughter that when she was young she got very sick, and that's why she's a slow learner. But secretly I am afraid it's my own fault."
,KESSP13/14,Q2 2018,KESS/NS,Indirect,"Personal, Community","Story, Scenario",,"My youngest daughter who attends the community school is more self-directed, and doesn't need extra coaching from her mother while the two older ones need more pushing to do their studies. Her two oldest daughters don't dare to give their opinions or suggestions. But the youngest one speaks very openly about her own ideas. Her older sisters tell her this is rude. My youngest daughter can pray with her own words, but her brother who attends government school can't, and just copies what his sister says. Or when it comes to writing essays. She had to write an essay about a cat one time. So she sat and looked at the cat, and tried to write how she saw it behave, not just the book explanation on cats."
,KESSP13/14,Q2 2018,KESS/NS,Indirect,Personal,Story,,"My daughter sometimes questions about Jinghpaw language that we did not know. So I learn these from their children. In the community school, they have a news sharing time. If the parents do not behave well at home, their children will talk about them during the morning routine (e.g. my parents were shouting at each other last night). Therefore I have to be careful of my behaviors. "
,KESSP15,Q2 2018,KESS/NS,Indirect,Personal/family,"Story, Scenario",,"This past year the mother has had health problems that keep her from working as much as she wants to support the children. The youngest daughter actually volunteered to leave the community school and go to government school in order to reduce the financial burden. But the mother insisted that she continue. Some weeks ago the mother's health problems worsened, and she had very sharp pains in her legs, like something was chewing on her bones, and that left her bedridden. The children were all crying to see her in that state. The youngest daughter was also crying at first, but then roused herself and said that instead of crying she should go pray and the mother saw that as a strong sign both of her maturity and faith in God. The daughter also said she wished she could give her legs to her mother, to take away the pain. "
,KESST1,Q2 2018,KESS/NS,Direct?,"Personal,community",Story,,"I used to be so shy, and wasn't confident to speak. But I practice in front of the children, and they trust me, and it gives me the strength to speak out in front of the parents. Last year in June, at the start of the school year, we had a meeting where all the parents were invited. And my school principal asked me to say something to the parents. So I spent all night writing down how I thought the parents could be involved, and the next morning I shared stories about things between the students and me, or how they are improving, and how the parents should support it, things they could do at home. School also makes us more social. "
,KESST1,Q2 2018,KESS/NS,Direct?,"Personal,community",Story,,"I was always a good follower. Learned from the leaders. I am an assistant principal. In the last December, the teachers and students wanted to have a Christmas gathering with another community school (Dima school). Our school principal wasn’t present at school at that time. As an assistant principal, I went to inform the school committee after we had discussed and had agreed plans with Dima school. The reply I got from the school committee was, ""this is not your school. You don't just get to decide these things on your own. You should have come to us first."" Within the church culture, sending an official letter from the church if having activities with another church is a protocol. But for me, this is not a church activity but the school activity. I felt I was scolded very badly. The other teachers were about to give up, but when I looked at the very excited students, and all the preparation work we were doing, like making presents and decorations, I decided to go anyway. So I went back to the school committee and confronted that, ""this is not a church activity. This is our school activity. It's even in the curriculum. Even if you don't approve, we are going.” Finally, the school committee gave permission with a warning not to do like this again. "
,KESST2,Q2 2018,KESS/NS,Direct?,Community,Scenario,,"I imagined a future where we did get a good education, and it seemed worth trying for. We still have so many invisible threats from the government, and they have so many operations against us. Not only us but also other ethnic groups. And other groups are also starting to make their own education systems as well. Actually, we weren't sure how the government would respond. But we do know that the education we were otherwise getting was useless, and made us feel inferior. They treated us like we were a slow, backward and uncivilized people. So we had to do something. "
